Card ID,Card Name,Illustrator,Rarity,Release Date,Set Name,Date,Boxonly,Cib,Graded,Manualonly,New,Used
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2020-12-01,0,51700,0,0,83400,22500
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-01-01,0,50000,0,0,79700,28240
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-02-01,405000,62318,238976,980000,97039,26000
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-03-01,405000,60000,181250,1460698,82495,35526
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-04-01,405000,45206,149153,1376987,67599,23213
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-05-01,338333,45250,129361,1360000,59000,19738
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-06-01,392350,40700,120473,1219694,60000,33905
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-07-01,377450,36350,126165,1359000,55000,19078
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-08-01,402500,42700,127599,1357588,59450,29275
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-09-01,402500,36112,127163,1356807,56000,16983
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-10-01,402500,36066,121300,1599900,50000,15000
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-11-01,432403,34523,111078,1265131,57260,13450
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-12-01,415000,35250,112500,1265075,51000,11725
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-01-01,518750,38643,130100,1300000,57500,12250
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-02-01,518750,37000,138346,1300000,58122,16581
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-03-01,518749,34264,141748,1250000,50000,15835
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-04-01,410000,35450,133974,1087099,53900,15533
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-05-01,499999,31700,145460,1147386,54350,14619
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-06-01,377483,32586,118228,995227,47324,16839
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-07-01,410000,32723,128404,1000229,49127,15000
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-08-01,297797,35200,126308,999982,52134,17625
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-09-01,307973,34250,119999,940699,53096,14291
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-10-01,287954,33401,109726,975000,48938,18327
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-11-01,439999,32711,103732,917250,54190,18677
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-12-01,439999,32763,100986,918733,49004,20267
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-01-01,439999,33350,103349,858188,52780,19982
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-02-01,504962,34069,98500,876040,48250,20600
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-03-01,505120,35882,106687,864000,52223,19108
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-04-01,439999,31917,106250,908427,49249,15415
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-05-01,439999,31767,107538,966550,48194,17588
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-06-01,439999,32801,103576,977500,50125,15650
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-07-01,409125,36193,112691,1058957,53448,16397
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-08-01,409125,34618,97100,1035781,52404,20411
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-09-01,409125,33500,106660,982071,46500,18475
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-10-01,363019,31012,105030,991869,47901,17000
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-11-01,369528,33665,87405,978685,48400,17004
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-12-01,308140,34035,114141,1035516,49205,19175
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-01-01,309050,34300,111285,1023280,50345,22000
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-02-01,313055,37118,120000,1035263,52406,21650
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-03-01,242650,33067,118605,1038214,56428,19125
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-04-01,149900,34576,106076,1008094,58000,23534
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-05-01,159502,33000,105747,1007500,51890,19775
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-06-01,132500,33652,103885,974869,49689,18875
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-07-01,129999,34000,101798,752967,52300,20333
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-08-01,128000,36343,100000,753466,51346,17650
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-09-01,140000,39000,104616,902747,52500,25248
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-10-01,136415,38445,117450,910073,55000,20468
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-11-01,128950,38696,107813,912698,58695,22780
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2024-12-01,138900,42627,126250,1059506,59288,28880
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-01-01,154800,41797,140721,1048181,62868,20323
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-02-01,154700,41500,140625,900000,65000,22400
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-03-01,171955,43530,157500,958260,66048,25564
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-04-01,170579,43150,152550,898800,60500,23050
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-05-01,176069,47950,141940,898800,69700,26063
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-06-01,175604,45569,130648,1000000,75684,24375
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-07-01,182100,46998,165586,1017432,74502,21037
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-08-01,199900,50464,181741,1034382,73977,24089
715593,Charizard Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2025-09-01,220000,52955,200000,1216348,85000,25287
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2020-12-01,0,152500,0,0,0,0
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-01-01,0,144200,0,0,180300,95000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-02-01,0,207475,802369,3197500,336606,49832
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-03-01,0,272390,821270,3197500,360050,110884
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-04-01,0,236872,689688,3197500,282200,118599
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-05-01,0,197500,580000,3140222,267750,118252
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-06-01,0,157196,475000,3133400,243850,66213
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-07-01,0,171202,487600,3133400,235000,69000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-08-01,0,164400,538504,3133400,238018,64221
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-09-01,0,151465,509950,3133400,215556,81000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-10-01,0,149799,535440,3080209,223853,74036
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-11-01,0,145758,596209,1502756,206250,54450
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2021-12-01,0,151154,652485,1609906,205000,51236
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-01-01,0,153276,633523,3133400,196020,44679
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-02-01,0,158750,610295,2121525,222550,46282
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-03-01,0,150000,648484,1131750,221338,68389
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-04-01,0,166500,460925,1942001,191000,63009
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-05-01,0,155000,426955,1903706,208588,62950
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-06-01,0,139500,384689,1953419,205000,65750
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-07-01,687731,153446,462375,1843707,202500,35792
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-08-01,687731,142500,460875,2285500,198461,63000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-09-01,687731,141624,471892,2285500,193244,45267
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-10-01,687731,140649,467968,2202441,195834,44250
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-11-01,687731,148663,436347,2285500,175500,55000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2022-12-01,687731,140000,441283,2245900,171350,47892
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-01-01,687731,134332,387570,2279707,186617,58500
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-02-01,687731,120430,419226,2533899,182558,62495
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-03-01,687731,120000,450000,2343300,191250,70000
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-04-01,687731,127005,432705,2343300,184750,54389
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-05-01,687731,130000,387335,2343300,180401,64326
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-06-01,687731,116200,378240,2343300,176048,58365
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-07-01,687731,104750,400000,2343300,170000,64256
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-08-01,687731,110355,380347,2343300,174000,63456
715591,Blastoise Base Set,Ken Sugimori,Rare Holo,"January 9, 1999",Base Set,2023-09-01,687731,110304,367566,2343300,168291,62162
