figure,,figure,year,selling_price,YoY_Growth,expected_price
2-1B,0,2-1B,2009,345.6,,345.6
2-1B,1,2-1B,2011,77.76,-0.775,359.56224000000003
2-1B,2,2-1B,2012,87.14,0.1206275720164609,366.7534848000001
2-1B,3,2-1B,2013,10.08,-0.8843240761992196,374.08855449600003
2-1B,4,2-1B,2014,61.755,5.126488095238096,381.57032558592005
2-1B,5,2-1B,2015,83.56,0.3530888187191321,389.20173209763846
2-1B,6,2-1B,2016,93.18,0.11512685495452368,396.9857667395912
2-1B,7,2-1B,2017,110.02,0.180725477570294,404.92548207438307
2-1B,8,2-1B,2018,90.625,-0.1762861297945828,413.02399171587075
2-1B,9,2-1B,2019,117.265,0.29395862068965517,421.2844715501882
2-1B,10,2-1B,2020,91.325,-0.2212083741951989,429.7101609811919
2-1B,11,2-1B,2021,140.755,0.5412537640295647,438.30436420081577
2-1B,12,2-1B,2022,169.0,0.20066782707541475,447.0704514848321
2-1B,13,2-1B,2023,163.61,-0.03189349112426032,456.01186051452873
2-1B,14,2-1B,2024,166.83499999999998,0.01971150907646213,465.13209772481935
2-1B,15,2-1B,2025,139.28,-0.16516318518296513,474.4347396793157
4-LOM,16,4-LOM,2009,190.08,0.36473291211947156,190.08
4-LOM,17,4-LOM,2013,190.64,0.002946127946127808,205.7487049728
4-LOM,18,4-LOM,2014,81.655,-0.5716796055392362,209.86367907225602
4-LOM,19,4-LOM,2015,129.95,0.5914518400587838,214.06095265370115
4-LOM,20,4-LOM,2016,136.66500000000002,0.05167372066179321,218.34217170677516
4-LOM,21,4-LOM,2017,117.84,-0.13774558226319844,222.70901514091068
4-LOM,22,4-LOM,2018,126.5,0.07348947725729804,227.1631954437289
4-LOM,23,4-LOM,2019,166.655,0.31743083003952566,231.70645935260347
4-LOM,24,4-LOM,2020,189.995,0.14004980348624407,236.34058853965556
4-LOM,25,4-LOM,2021,272.08,0.43203768520224206,241.06740031044868
4-LOM,26,4-LOM,2022,321.82,0.18281387827109685,245.88874831665765
4-LOM,27,4-LOM,2023,242.75,-0.24569635199801132,250.8065232829908
4-LOM,28,4-LOM,2024,165.9,-0.3165808444902163,255.82265374865062
4-LOM,29,4-LOM,2025,219.98,0.32597950572634105,260.93910682362366
4-Lom,30,4-Lom,2013,10.71,-0.9513137557959814,10.71
4-Lom,31,4-Lom,2014,32.315,2.017273576097105,10.9242
4-Lom,32,4-Lom,2015,30.4,-0.059260405384496395,11.142684000000001
4-Lom,33,4-Lom,2016,34.125,0.12253289473684226,11.365537680000003
4-Lom,34,4-Lom,2017,39.495000000000005,0.15736263736263756,11.5928484336
4-Lom,35,4-Lom,2018,36.5,-0.07583238384605662,11.824705402272
4-Lom,36,4-Lom,2019,39.040000000000006,0.06958904109589059,12.061199510317442
4-Lom,37,4-Lom,2020,50.56,0.29508196721311464,12.30242350052379
4-Lom,38,4-Lom,2021,70.725,0.3988330696202529,12.548471970534267
4-Lom,39,4-Lom,2022,83.47999999999999,0.18034641215977376,12.799441409944952
4-Lom,40,4-Lom,2023,62.455,-0.25185673215141346,13.055430238143853
4-Lom,41,4-Lom,2024,65.0,0.040749339524457584,13.316538842906729
4-Lom,42,4-Lom,2025,58.69,-0.09707692307692306,13.582869619764864
8D8,43,8D8,2012,51.84,-0.11671494292042928,51.84
8D8,44,8D8,2013,38.69,-0.25366512345679026,52.8768
8D8,45,8D8,2014,42.49,0.09821659343499634,53.934336
8D8,46,8D8,2015,43.675,0.027888915038832618,55.01302272000001
8D8,47,8D8,2016,49.89,0.14230108757870652,56.1132831744
8D8,48,8D8,2017,51.0,0.022248947684906817,57.235548837888004
8D8,49,8D8,2018,56.805,0.11382352941176466,58.38025981464577
8D8,50,8D8,2019,45.69,-0.19566939529970961,59.54786501093868
8D8,51,8D8,2020,66.62,0.4580871087765377,60.73882231115746
8D8,52,8D8,2021,88.21000000000001,0.3240768537976584,61.95359875738061
8D8,53,8D8,2022,107.76,0.2216302006575217,63.19267073252822
8D8,54,8D8,2023,103.4,-0.040460282108389034,64.45652414717878
8D8,55,8D8,2024,96.86,-0.06324951644100585,65.74565463012236
8D8,56,8D8,2025,82.42,-0.14908114804873007,67.06056772272481
A-Wing Pilot,57,A-Wing Pilot,2012,69.12,-0.16136859985440422,69.12
A-Wing Pilot,58,A-Wing Pilot,2013,107.15,0.5502025462962963,70.50240000000001
A-Wing Pilot,59,A-Wing Pilot,2014,120.06,0.1204853009799347,71.912448
A-Wing Pilot,60,A-Wing Pilot,2015,169.01,0.4077128102615357,73.35069696000002
A-Wing Pilot,61,A-Wing Pilot,2016,192.49,0.13892669072835928,74.81771089920001
A-Wing Pilot,62,A-Wing Pilot,2017,233.37,0.21237466881396427,76.314065117184
A-Wing Pilot,63,A-Wing Pilot,2018,279.0,0.19552641727728504,77.84034641952769
A-Wing Pilot,64,A-Wing Pilot,2019,251.235,-0.09951612903225804,79.39715334791825
A-Wing Pilot,65,A-Wing Pilot,2020,378.57,0.5068362290285986,80.98509641487661
A-Wing Pilot,66,A-Wing Pilot,2021,505.02500000000003,0.33403333597485285,82.60479834317415
A-Wing Pilot,67,A-Wing Pilot,2022,422.62,-0.16317014009207464,84.25689431003764
A-Wing Pilot,68,A-Wing Pilot,2023,517.19,0.2237707633334911,85.94203219623839
A-Wing Pilot,69,A-Wing Pilot,2024,485.33,-0.061602119143835066,87.66087284016315
A-Wing Pilot,70,A-Wing Pilot,2025,447.78999999999996,-0.07734943234500247,89.41409029696642
A-wing pilot,71,A-wing pilot,2013,61.0,-0.8637754304473079,61.0
A-wing pilot,72,A-wing pilot,2014,112.55,0.8450819672131147,62.22
A-wing pilot,73,A-wing pilot,2015,94.60499999999999,-0.15944024877832086,63.4644
A-wing pilot,74,A-wing pilot,2016,112.50999999999999,0.18926060990433902,64.73368800000001
A-wing pilot,75,A-wing pilot,2017,163.73000000000002,0.4552484223624569,66.02836176
A-wing pilot,76,A-wing pilot,2018,181.255,0.10703597385940244,67.3489289952
A-wing pilot,77,A-wing pilot,2019,203.39,0.12212076908223213,68.695907575104
A-wing pilot,78,A-wing pilot,2020,240.0,0.1799990166674863,70.06982572660608
A-wing pilot,79,A-wing pilot,2021,358.47,0.4936250000000002,71.47122224113821
A-wing pilot,80,A-wing pilot,2022,326.405,-0.08944960526682866,72.90064668596098
A-wing pilot,81,A-wing pilot,2023,307.22,-0.05877667315145274,74.3586596196802
A-wing pilot,82,A-wing pilot,2024,287.6,-0.06386302975066727,75.8458328120738
A-wing pilot,83,A-wing pilot,2025,308.0,0.0709318497913769,77.36274946831527
AT-AT Commander,84,AT-AT Commander,2012,155.52,-0.495064935064935,155.52
AT-AT Commander,85,AT-AT Commander,2013,12.02,-0.9227109053497943,158.6304
AT-AT Commander,86,AT-AT Commander,2014,39.995000000000005,2.327371048252912,161.803008
AT-AT Commander,87,AT-AT Commander,2015,56.0,0.40017502187773446,165.03906816000003
AT-AT Commander,88,AT-AT Commander,2016,61.31,0.09482142857142861,168.3398495232
AT-AT Commander,89,AT-AT Commander,2017,76.55,0.2485728266188223,171.70664651366403
AT-AT Commander,90,AT-AT Commander,2018,69.08500000000001,-0.09751796211626373,175.1407794439373
AT-AT Commander,91,AT-AT Commander,2019,66.94,-0.031048708113194046,178.64359503281605
AT-AT Commander,92,AT-AT Commander,2020,64.36,-0.03854197789064828,182.2164669334724
AT-AT Commander,93,AT-AT Commander,2021,104.94,0.6305158483530142,185.86079627214184
AT-AT Commander,94,AT-AT Commander,2022,118.98,0.13379073756432258,189.57801219758468
AT-AT Commander,95,AT-AT Commander,2023,106.79,-0.10245419398218181,193.36957244153638
AT-AT Commander,96,AT-AT Commander,2024,98.345,-0.07908043824328126,197.2369638903671
AT-AT Commander,97,AT-AT Commander,2025,94.815,-0.03589404646906302,201.18170316817444
AT-AT Driver,98,AT-AT Driver,2009,69.12,-0.271001423825344,69.12
AT-AT Driver,99,AT-AT Driver,2012,120.96,0.7499999999999998,73.35069696000002
AT-AT Driver,100,AT-AT Driver,2013,35.95,-0.7027943121693121,74.81771089920001
AT-AT Driver,101,AT-AT Driver,2014,61.35,0.7065368567454797,76.314065117184
AT-AT Driver,102,AT-AT Driver,2015,76.485,0.24669926650366736,77.84034641952769
AT-AT Driver,103,AT-AT Driver,2016,113.15,0.4793750408576847,79.39715334791825
AT-AT Driver,104,AT-AT Driver,2017,158.39,0.3998232434821032,80.98509641487661
AT-AT Driver,105,AT-AT Driver,2018,138.635,-0.12472378306711285,82.60479834317415
AT-AT Driver,106,AT-AT Driver,2019,130.49,-0.05875139755472991,84.25689431003764
AT-AT Driver,107,AT-AT Driver,2020,144.325,0.10602345007280234,85.94203219623839
AT-AT Driver,108,AT-AT Driver,2021,178.0,0.23332755932790583,87.66087284016315
AT-AT Driver,109,AT-AT Driver,2022,141.75,-0.2036516853932584,89.41409029696642
AT-AT Driver,110,AT-AT Driver,2023,180.0,0.26984126984126977,91.20237210290574
AT-AT Driver,111,AT-AT Driver,2024,162.97,-0.09461111111111109,93.02641954496386
AT-AT Driver,112,AT-AT Driver,2025,123.33,-0.24323495121801564,94.88694793586315
AT-ST Driver,113,AT-ST Driver,2011,77.76,-0.3694964728776453,77.76
AT-ST Driver,114,AT-ST Driver,2012,71.945,-0.07478137860082323,79.3152
AT-ST Driver,115,AT-ST Driver,2013,18.49,-0.7429981235666134,80.901504
AT-ST Driver,116,AT-ST Driver,2014,42.67,1.3077339102217418,82.51953408000001
AT-ST Driver,117,AT-ST Driver,2015,53.435,0.25228497773611447,84.1699247616
AT-ST Driver,118,AT-ST Driver,2016,57.74,0.08056517263965568,85.85332325683201
