,figure,authenticity,year,band,selling_price_USD,condition,character_type,recorded_sales_updated
0,2-1B,ungraded,1/1/2013,1,13.14,loose_figure,droid,0.4
1,2-1B,ungraded,1/1/2014,1,24.28,loose_figure,droid,10.5
2,2-1B,ungraded,1/1/2015,1,84.56,loose_figure,droid,15.8
3,2-1B,ungraded,1/1/2016,1,200,loose_figure,droid,14.7
4,2-1B,ungraded,1/1/2017,1,59.28,loose_figure,droid,10.1
5,2-1B,ungraded,1/1/2018,1,57.4,loose_figure,droid,9.7
6,2-1B,ungraded,1/1/2019,1,282.91,loose_figure,droid,7.6
7,2-1B,ungraded,1/1/2020,1,142.31,loose_figure,droid,8.6
8,2-1B,ungraded,1/1/2021,1,219.85,loose_figure,droid,10.8
9,2-1B,ungraded,1/1/2022,1,108.27,loose_figure,droid,17.4
10,2-1B,ungraded,1/1/2023,1,60,loose_figure,droid,13.4
11,2-1B,ungraded,1/1/2024,1,64.99,loose_figure,droid,10.5
12,2-1B,ungraded,1/1/2025,1,65,loose_figure,droid,10.3
13,2-1B,ungraded,1/1/2013,0.9,10.58,loose_figure,droid,0.4
14,2-1B,ungraded,1/1/2014,0.9,16.43,loose_figure,droid,10.5
15,2-1B,ungraded,1/1/2015,0.9,22.39,loose_figure,droid,15.8
16,2-1B,ungraded,1/1/2016,0.9,26,loose_figure,droid,14.7
17,2-1B,ungraded,1/1/2017,0.9,32.38,loose_figure,droid,10.1
18,2-1B,ungraded,1/1/2018,0.9,28.6,loose_figure,droid,9.7
19,2-1B,ungraded,1/1/2019,0.9,29,loose_figure,droid,7.6
20,2-1B,ungraded,1/1/2020,0.9,31.89,loose_figure,droid,8.6
21,2-1B,ungraded,1/1/2021,0.9,45.96,loose_figure,droid,10.8
22,2-1B,ungraded,1/1/2022,0.9,47.33,loose_figure,droid,17.4
23,2-1B,ungraded,1/1/2023,0.9,38,loose_figure,droid,13.4
24,2-1B,ungraded,1/1/2024,0.9,37.88,loose_figure,droid,10.5
25,2-1B,ungraded,1/1/2025,0.9,41.41,loose_figure,droid,10.3
26,2-1B,ungraded,1/1/2013,0.8,10.58,loose_figure,droid,0.4
27,2-1B,ungraded,1/1/2014,0.8,14.13,loose_figure,droid,10.5
28,2-1B,ungraded,1/1/2015,0.8,16.49,loose_figure,droid,15.8
29,2-1B,ungraded,1/1/2016,0.8,21.42,loose_figure,droid,14.7
30,2-1B,ungraded,1/1/2017,0.8,24.91,loose_figure,droid,10.1
31,2-1B,ungraded,1/1/2018,0.8,25,loose_figure,droid,9.7
32,2-1B,ungraded,1/1/2019,0.8,25.18,loose_figure,droid,7.6
33,2-1B,ungraded,1/1/2020,0.8,27,loose_figure,droid,8.6
34,2-1B,ungraded,1/1/2021,0.8,35,loose_figure,droid,10.8
35,2-1B,ungraded,1/1/2022,0.8,38,loose_figure,droid,17.4
36,2-1B,ungraded,1/1/2023,0.8,33.47,loose_figure,droid,13.4
37,2-1B,ungraded,1/1/2024,0.8,34,loose_figure,droid,10.5
38,2-1B,ungraded,1/1/2025,0.8,34,loose_figure,droid,10.3
39,2-1B,ungraded,1/1/2013,0.7,10.58,loose_figure,droid,0.4
40,2-1B,ungraded,1/1/2014,0.7,12.5,loose_figure,droid,10.5
