figure,authenticity,year,band,selling_price_USD,recorded_sales,condition,character_type,day,month
2-1B,ungraded,2013,1,13.14,4,loose_figure,droid,1,1
2-1B,ungraded,2014,1,24.28,105,loose_figure,droid,1,1
2-1B,ungraded,2015,1,84.56,158,loose_figure,droid,1,1
2-1B,ungraded,2016,1,200,147,loose_figure,droid,1,1
2-1B,ungraded,2017,1,59.28,101,loose_figure,droid,1,1
2-1B,ungraded,2018,1,57.4,97,loose_figure,droid,1,1
2-1B,ungraded,2019,1,282.91,76,loose_figure,droid,1,1
2-1B,ungraded,2020,1,142.31,86,loose_figure,droid,1,1
2-1B,ungraded,2021,1,219.85,108,loose_figure,droid,1,1
2-1B,ungraded,2022,1,108.27,174,loose_figure,droid,1,1
2-1B,ungraded,2023,1,60,134,loose_figure,droid,1,1
2-1B,ungraded,2024,1,64.99,105,loose_figure,droid,1,1
2-1B,ungraded,2025,1,65,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.9,10.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.9,16.43,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.9,22.39,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.9,26,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.9,32.38,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.9,28.6,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.9,29,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.9,31.89,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.9,45.96,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.9,47.33,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.9,38,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.9,37.88,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.9,41.41,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.8,10.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.8,14.13,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.8,16.49,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.8,21.42,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.8,24.91,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.8,25,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.8,25.18,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.8,27,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.8,35,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.8,38,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.8,33.47,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.8,34,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.8,34,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.7,10.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.7,12.5,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.7,14.99,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.7,17.18,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.7,20.5,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.7,20.51,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.7,20.75,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.7,23.32,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.7,32.99,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.7,35,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.7,31.65,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.7,33.17,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.7,32.38,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.6,9.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.6,11.01,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.6,13.3,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.6,15.5,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.6,17.94,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.6,18.4,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.6,19.01,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.6,20.86,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.6,29.99,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.6,33,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.6,29,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.6,31.53,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.6,29.5,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.5,9.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.5,9.99,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.5,12.36,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.5,13.7,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.5,16.49,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.5,17,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.5,17.43,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.5,18.23,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.5,27.48,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.5,31.5,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.5,27,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.5,29.99,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.5,27,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.4,9.58,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.4,9.11,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.4,11,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.4,12.5,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.4,15.5,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.4,15.5,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.4,15.88,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.4,16,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.4,23.5,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.4,27.67,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.4,25.1,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.4,27,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.4,23.5,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.3,8.59,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.3,8.5,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.3,9.96,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.3,11.09,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.3,14.03,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.3,14.54,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.3,14.99,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.3,14.5,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.3,20.86,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.3,24.71,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.3,22.5,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.3,24.99,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.3,22,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.2,8.59,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.2,7.5,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.2,8.95,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.2,10,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.2,11.58,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.2,12.71,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.2,13.07,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.2,13.5,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.2,18.5,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.2,21.56,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.2,20.5,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.2,21.14,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.2,19.4,103,loose_figure,droid,1,1
2-1B,ungraded,2013,0.1,8.59,4,loose_figure,droid,1,1
2-1B,ungraded,2014,0.1,6,105,loose_figure,droid,1,1
2-1B,ungraded,2015,0.1,6.99,158,loose_figure,droid,1,1
2-1B,ungraded,2016,0.1,8.52,147,loose_figure,droid,1,1
2-1B,ungraded,2017,0.1,10.38,101,loose_figure,droid,1,1
2-1B,ungraded,2018,0.1,10.25,97,loose_figure,droid,1,1
2-1B,ungraded,2019,0.1,11.21,76,loose_figure,droid,1,1
2-1B,ungraded,2020,0.1,10,86,loose_figure,droid,1,1
2-1B,ungraded,2021,0.1,13.5,108,loose_figure,droid,1,1
2-1B,ungraded,2022,0.1,17.65,174,loose_figure,droid,1,1
2-1B,ungraded,2023,0.1,17.5,134,loose_figure,droid,1,1
2-1B,ungraded,2024,0.1,18.5,105,loose_figure,droid,1,1
2-1B,ungraded,2025,0.1,15,103,loose_figure,droid,1,1
2-1B,graded,2014,1,186.06,105,loose_figure,droid,1,1
2-1B,graded,2015,1,100,158,loose_figure,droid,1,1
2-1B,graded,2016,1,99.99,147,loose_figure,droid,1,1
2-1B,graded,2017,1,110.02,101,loose_figure,droid,1,1
2-1B,graded,2018,1,306.01,97,loose_figure,droid,1,1
2-1B,graded,2019,1,201.11,76,loose_figure,droid,1,1
2-1B,graded,2020,1,241.4,86,loose_figure,droid,1,1
2-1B,graded,2021,1,332.76,108,loose_figure,droid,1,1
2-1B,graded,2022,1,465,174,loose_figure,droid,1,1
2-1B,graded,2023,1,429.47,134,loose_figure,droid,1,1
2-1B,graded,2024,1,852.95,105,loose_figure,droid,1,1
2-1B,graded,2025,1,313.5,103,loose_figure,droid,1,1
2-1B,graded,2014,0.9,100,105,loose_figure,droid,1,1
2-1B,graded,2015,0.9,77.25,158,loose_figure,droid,1,1
2-1B,graded,2016,0.9,63,147,loose_figure,droid,1,1
2-1B,graded,2017,0.9,84.96,101,loose_figure,droid,1,1
2-1B,graded,2018,0.9,104.03,97,loose_figure,droid,1,1
2-1B,graded,2019,0.9,130,76,loose_figure,droid,1,1
2-1B,graded,2020,0.9,131.5,86,loose_figure,droid,1,1
2-1B,graded,2021,0.9,153.51,108,loose_figure,droid,1,1
2-1B,graded,2022,0.9,199.99,174,loose_figure,droid,1,1
2-1B,graded,2023,0.9,188.78,134,loose_figure,droid,1,1
2-1B,graded,2024,0.9,214.5,105,loose_figure,droid,1,1
2-1B,graded,2025,0.9,204.5,103,loose_figure,droid,1,1
2-1B,graded,2014,0.8,53.99,105,loose_figure,droid,1,1
2-1B,graded,2015,0.8,61,158,loose_figure,droid,1,1
2-1B,graded,2016,0.8,55.55,147,loose_figure,droid,1,1
2-1B,graded,2017,0.8,71.25,101,loose_figure,droid,1,1
2-1B,graded,2018,0.8,89,97,loose_figure,droid,1,1
2-1B,graded,2019,0.8,82.69,76,loose_figure,droid,1,1
2-1B,graded,2020,0.8,98,86,loose_figure,droid,1,1
2-1B,graded,2021,0.8,128,108,loose_figure,droid,1,1
2-1B,graded,2022,0.8,136.5,174,loose_figure,droid,1,1
2-1B,graded,2023,0.8,155.72,134,loose_figure,droid,1,1
2-1B,graded,2024,0.8,165,105,loose_figure,droid,1,1
2-1B,graded,2025,0.8,152.5,103,loose_figure,droid,1,1
2-1B,graded,2014,0.7,51.16,105,loose_figure,droid,1,1
2-1B,graded,2015,0.7,59.99,158,loose_figure,droid,1,1
2-1B,graded,2016,0.7,54.87,147,loose_figure,droid,1,1
2-1B,graded,2017,0.7,67,101,loose_figure,droid,1,1
2-1B,graded,2018,0.7,78.59,97,loose_figure,droid,1,1
2-1B,graded,2019,0.7,78.71,76,loose_figure,droid,1,1
2-1B,graded,2020,0.7,93.15,86,loose_figure,droid,1,1
2-1B,graded,2021,0.7,125,108,loose_figure,droid,1,1
2-1B,graded,2022,0.7,125,174,loose_figure,droid,1,1
2-1B,graded,2023,0.7,135,134,loose_figure,droid,1,1
2-1B,graded,2024,0.7,149.95,105,loose_figure,droid,1,1
2-1B,graded,2025,0.7,145,103,loose_figure,droid,1,1
2-1B,graded,2014,0.6,51,105,loose_figure,droid,1,1
2-1B,graded,2015,0.6,50,158,loose_figure,droid,1,1
2-1B,graded,2016,0.6,52,147,loose_figure,droid,1,1
2-1B,graded,2017,0.6,65,101,loose_figure,droid,1,1
2-1B,graded,2018,0.6,75,97,loose_figure,droid,1,1
2-1B,graded,2019,0.6,71.29,76,loose_figure,droid,1,1
2-1B,graded,2020,0.6,84.17,86,loose_figure,droid,1,1
2-1B,graded,2021,0.6,115,108,loose_figure,droid,1,1
2-1B,graded,2022,0.6,110.23,174,loose_figure,droid,1,1
2-1B,graded,2023,0.6,121.03,134,loose_figure,droid,1,1
2-1B,graded,2024,0.6,139.86,105,loose_figure,droid,1,1
2-1B,graded,2025,0.6,124.99,103,loose_figure,droid,1,1
2-1B,graded,2014,0.5,50.99,105,loose_figure,droid,1,1
2-1B,graded,2015,0.5,49.83,158,loose_figure,droid,1,1
2-1B,graded,2016,0.5,50.74,147,loose_figure,droid,1,1
2-1B,graded,2017,0.5,61,101,loose_figure,droid,1,1
2-1B,graded,2018,0.5,69.89,97,loose_figure,droid,1,1
2-1B,graded,2019,0.5,66,76,loose_figure,droid,1,1
2-1B,graded,2020,0.5,68.96,86,loose_figure,droid,1,1
2-1B,graded,2021,0.5,110,108,loose_figure,droid,1,1
2-1B,graded,2022,0.5,94.5,174,loose_figure,droid,1,1
2-1B,graded,2023,0.5,110,134,loose_figure,droid,1,1
2-1B,graded,2024,0.5,123.5,105,loose_figure,droid,1,1
2-1B,graded,2025,0.5,119.99,103,loose_figure,droid,1,1
2-1B,graded,2014,0.4,40.75,105,loose_figure,droid,1,1
2-1B,graded,2015,0.4,46.2,158,loose_figure,droid,1,1
2-1B,graded,2016,0.4,49.99,147,loose_figure,droid,1,1
2-1B,graded,2017,0.4,58.01,101,loose_figure,droid,1,1
2-1B,graded,2018,0.4,63.38,97,loose_figure,droid,1,1
2-1B,graded,2019,0.4,59.04,76,loose_figure,droid,1,1
2-1B,graded,2020,0.4,63.29,86,loose_figure,droid,1,1
2-1B,graded,2021,0.4,102.5,108,loose_figure,droid,1,1
2-1B,graded,2022,0.4,86.79,174,loose_figure,droid,1,1
2-1B,graded,2023,0.4,97.87,134,loose_figure,droid,1,1
2-1B,graded,2024,0.4,98,105,loose_figure,droid,1,1
2-1B,graded,2025,0.4,114.99,103,loose_figure,droid,1,1
2-1B,graded,2014,0.3,38,105,loose_figure,droid,1,1
