"figure","authenticity_n","selling_price","sales","condition","character_type","year"
"2-1B",0,8.59,0.4,loose_figure,droid,"2013"
"2-1B",0,10.58,0.4,loose_figure,droid,"2013"
"2-1B",0,9.58,0.4,loose_figure,droid,"2013"
"2-1B",0,9.58,0.4,loose_figure,droid,"2013"
"2-1B",0,10.58,0.4,loose_figure,droid,"2013"
"2-1B",0,9.58,0.4,loose_figure,droid,"2013"
"2-1B",0,10.58,0.4,loose_figure,droid,"2013"
"2-1B",0,8.59,0.4,loose_figure,droid,"2013"
"2-1B",0,8.59,0.4,loose_figure,droid,"2013"
"2-1B",0,13.14,0.4,loose_figure,droid,"2013"
"2-1B",0,6.0,10.5,loose_figure,droid,"2014"
"2-1B",0,12.5,10.5,loose_figure,droid,"2014"
"2-1B",0,24.28,10.5,loose_figure,droid,"2014"
"2-1B",0,11.01,10.5,loose_figure,droid,"2014"
"2-1B",0,14.13,10.5,loose_figure,droid,"2014"
"2-1B",0,9.99,10.5,loose_figure,droid,"2014"
"2-1B",0,7.5,10.5,loose_figure,droid,"2014"
"2-1B",0,16.43,10.5,loose_figure,droid,"2014"
"2-1B",0,8.5,10.5,loose_figure,droid,"2014"
"2-1B",0,9.11,10.5,loose_figure,droid,"2014"
"2-1B",0,84.56,15.8,loose_figure,droid,"2015"
"2-1B",0,14.99,15.8,loose_figure,droid,"2015"
"2-1B",0,6.99,15.8,loose_figure,droid,"2015"
"2-1B",0,13.3,15.8,loose_figure,droid,"2015"
"2-1B",0,8.95,15.8,loose_figure,droid,"2015"
"2-1B",0,16.49,15.8,loose_figure,droid,"2015"
"2-1B",0,9.96,15.8,loose_figure,droid,"2015"
"2-1B",0,11.0,15.8,loose_figure,droid,"2015"
"2-1B",0,22.39,15.8,loose_figure,droid,"2015"
"2-1B",0,12.36,15.8,loose_figure,droid,"2015"
"2-1B",0,17.18,14.7,loose_figure,droid,"2016"
"2-1B",0,12.5,14.7,loose_figure,droid,"2016"
"2-1B",0,15.5,14.7,loose_figure,droid,"2016"
"2-1B",0,10.0,14.7,loose_figure,droid,"2016"
"2-1B",0,200.0,14.7,loose_figure,droid,"2016"
"2-1B",0,8.52,14.7,loose_figure,droid,"2016"
"2-1B",0,21.42,14.7,loose_figure,droid,"2016"
"2-1B",0,26.0,14.7,loose_figure,droid,"2016"
"2-1B",0,11.09,14.7,loose_figure,droid,"2016"
"2-1B",0,13.7,14.7,loose_figure,droid,"2016"
"2-1B",0,20.5,10.1,loose_figure,droid,"2017"
"2-1B",0,59.28,10.1,loose_figure,droid,"2017"
"2-1B",0,32.38,10.1,loose_figure,droid,"2017"
"2-1B",0,17.94,10.1,loose_figure,droid,"2017"
"2-1B",0,15.5,10.1,loose_figure,droid,"2017"
"2-1B",0,11.58,10.1,loose_figure,droid,"2017"
"2-1B",0,24.91,10.1,loose_figure,droid,"2017"
"2-1B",0,16.49,10.1,loose_figure,droid,"2017"
"2-1B",0,14.03,10.1,loose_figure,droid,"2017"
"2-1B",0,10.38,10.1,loose_figure,droid,"2017"
"2-1B",0,18.4,9.7,loose_figure,droid,"2018"
"2-1B",0,25.0,9.7,loose_figure,droid,"2018"
"2-1B",0,14.54,9.7,loose_figure,droid,"2018"
"2-1B",0,57.4,9.7,loose_figure,droid,"2018"
"2-1B",0,10.25,9.7,loose_figure,droid,"2018"
"2-1B",0,15.5,9.7,loose_figure,droid,"2018"
"2-1B",0,20.51,9.7,loose_figure,droid,"2018"
"2-1B",0,28.6,9.7,loose_figure,droid,"2018"
"2-1B",0,17.0,9.7,loose_figure,droid,"2018"
"2-1B",0,12.71,9.7,loose_figure,droid,"2018"
"2-1B",0,17.43,7.6,loose_figure,droid,"2019"
"2-1B",0,14.99,7.6,loose_figure,droid,"2019"
"2-1B",0,20.75,7.6,loose_figure,droid,"2019"
"2-1B",0,19.01,7.6,loose_figure,droid,"2019"
"2-1B",0,13.07,7.6,loose_figure,droid,"2019"
"2-1B",0,15.88,7.6,loose_figure,droid,"2019"
"2-1B",0,25.18,7.6,loose_figure,droid,"2019"
"2-1B",0,11.21,7.6,loose_figure,droid,"2019"
"2-1B",0,29.0,7.6,loose_figure,droid,"2019"
"2-1B",0,282.91,7.6,loose_figure,droid,"2019"
"2-1B",0,31.89,8.6,loose_figure,droid,"2020"
"2-1B",0,13.5,8.6,loose_figure,droid,"2020"
"2-1B",0,14.5,8.6,loose_figure,droid,"2020"
"2-1B",0,23.32,8.6,loose_figure,droid,"2020"
"2-1B",0,18.23,8.6,loose_figure,droid,"2020"
"2-1B",0,142.31,8.6,loose_figure,droid,"2020"
"2-1B",0,20.86,8.6,loose_figure,droid,"2020"
"2-1B",0,27.0,8.6,loose_figure,droid,"2020"
"2-1B",0,16.0,8.6,loose_figure,droid,"2020"
"2-1B",0,10.0,8.6,loose_figure,droid,"2020"
"2-1B",0,219.85,10.8,loose_figure,droid,"2021"
"2-1B",0,13.5,10.8,loose_figure,droid,"2021"
"2-1B",0,18.5,10.8,loose_figure,droid,"2021"
"2-1B",0,20.86,10.8,loose_figure,droid,"2021"
"2-1B",0,23.5,10.8,loose_figure,droid,"2021"
"2-1B",0,27.48,10.8,loose_figure,droid,"2021"
"2-1B",0,29.99,10.8,loose_figure,droid,"2021"
"2-1B",0,45.96,10.8,loose_figure,droid,"2021"
"2-1B",0,35.0,10.8,loose_figure,droid,"2021"
"2-1B",0,32.99,10.8,loose_figure,droid,"2021"
"2-1B",0,38.0,17.4,loose_figure,droid,"2022"
"2-1B",0,21.56,17.4,loose_figure,droid,"2022"
"2-1B",0,24.71,17.4,loose_figure,droid,"2022"
"2-1B",0,108.27,17.4,loose_figure,droid,"2022"
"2-1B",0,33.0,17.4,loose_figure,droid,"2022"
"2-1B",0,17.65,17.4,loose_figure,droid,"2022"
"2-1B",0,27.67,17.4,loose_figure,droid,"2022"
"2-1B",0,35.0,17.4,loose_figure,droid,"2022"
"2-1B",0,47.33,17.4,loose_figure,droid,"2022"
"2-1B",0,31.5,17.4,loose_figure,droid,"2022"
"2-1B",0,29.0,13.4,loose_figure,droid,"2023"
"2-1B",0,25.1,13.4,loose_figure,droid,"2023"
"2-1B",0,33.47,13.4,loose_figure,droid,"2023"
"2-1B",0,22.5,13.4,loose_figure,droid,"2023"
"2-1B",0,27.0,13.4,loose_figure,droid,"2023"
"2-1B",0,60.0,13.4,loose_figure,droid,"2023"
"2-1B",0,31.65,13.4,loose_figure,droid,"2023"
"2-1B",0,17.5,13.4,loose_figure,droid,"2023"
"2-1B",0,20.5,13.4,loose_figure,droid,"2023"
"2-1B",0,38.0,13.4,loose_figure,droid,"2023"
"2-1B",0,64.99,10.5,loose_figure,droid,"2024"
"2-1B",0,29.99,10.5,loose_figure,droid,"2024"
"2-1B",0,37.88,10.5,loose_figure,droid,"2024"
"2-1B",0,27.0,10.5,loose_figure,droid,"2024"
"2-1B",0,24.99,10.5,loose_figure,droid,"2024"
"2-1B",0,33.17,10.5,loose_figure,droid,"2024"
"2-1B",0,34.0,10.5,loose_figure,droid,"2024"
"2-1B",0,21.14,10.5,loose_figure,droid,"2024"
"2-1B",0,18.5,10.5,loose_figure,droid,"2024"
"2-1B",0,31.53,10.5,loose_figure,droid,"2024"
"2-1B",0,23.5,10.3,loose_figure,droid,"2025"
"2-1B",0,65.0,10.3,loose_figure,droid,"2025"
"2-1B",0,34.0,10.3,loose_figure,droid,"2025"
"2-1B",0,29.5,10.3,loose_figure,droid,"2025"
"2-1B",0,19.4,10.3,loose_figure,droid,"2025"
"2-1B",0,27.0,10.3,loose_figure,droid,"2025"
"2-1B",0,15.0,10.3,loose_figure,droid,"2025"
"2-1B",0,32.38,10.3,loose_figure,droid,"2025"
"2-1B",0,22.0,10.3,loose_figure,droid,"2025"
"2-1B",0,41.41,10.3,loose_figure,droid,"2025"
"2-1B",1,50.99,10.5,loose_figure,droid,"2014"
"2-1B",1,40.75,10.5,loose_figure,droid,"2014"
"2-1B",1,51.16,10.5,loose_figure,droid,"2014"
"2-1B",1,186.06,10.5,loose_figure,droid,"2014"
"2-1B",1,100.0,10.5,loose_figure,droid,"2014"
"2-1B",1,33.0,10.5,loose_figure,droid,"2014"
"2-1B",1,51.0,10.5,loose_figure,droid,"2014"
"2-1B",1,35.99,10.5,loose_figure,droid,"2014"
